Source,Target
97268402,64591429
97268402,23434538
97268402,14558127
97268402,86120752
97268402,68258355
97268402,4647954
97268402,69852487
97268402,81471108
97268402,32164201
97268402,32807846
97268402,73628505
97268402,74063034
97268402,14532163
97268402,36224040
97268402,62623659
97268402,47679935
97268402,94770493
97268402,24224830
97268402,65681983
97268402,24299458
97268402,10045474
97268402,23002292
97268402,97300502
97268402,75286621
97268402,84013238
97268402,84013239
97268402,21044178
97268402,86532744
97268402,82633039
97268402,82697249
97268402,6983839
97268402,62517849
97268402,56832966
97268402,68679595
97268402,90448279
97268402,34755994
64591429,23434538
64591429,14558127
64591429,86120752
64591429,68258355
64591429,4647954
64591429,69852487
64591429,81471108
64591429,32164201
64591429,32807846
64591429,73628505
64591429,74063034
64591429,14532163
64591429,36224040
64591429,62623659
64591429,47679935
64591429,94770493
64591429,24224830
64591429,65681983
64591429,24299458
64591429,10045474
64591429,23002292
64591429,97300502
64591429,75286621
64591429,84013238
64591429,84013239
64591429,21044178
64591429,86532744
64591429,82633039
64591429,82697249
64591429,6983839
64591429,62517849
64591429,56832966
64591429,68679595
64591429,90448279
64591429,34755994
23434538,14558127
23434538,86120752
23434538,68258355
23434538,4647954
23434538,69852487
23434538,81471108
23434538,32164201
23434538,32807846
23434538,73628505
23434538,74063034
23434538,14532163
23434538,36224040
23434538,62623659
23434538,47679935
23434538,94770493
23434538,24224830
23434538,65681983
23434538,24299458
23434538,10045474
23434538,23002292
23434538,97300502
23434538,75286621
23434538,84013238
23434538,84013239
23434538,21044178
23434538,86532744
23434538,82633039
23434538,82697249
23434538,6983839
23434538,62517849
23434538,56832966
23434538,68679595
23434538,90448279
23434538,34755994
14558127,86120752
14558127,68258355
14558127,4647954
14558127,69852487
14558127,81471108
14558127,32164201
14558127,32807846
14558127,73628505
14558127,74063034
14558127,14532163
14558127,36224040
14558127,62623659
14558127,47679935
14558127,94770493
14558127,24224830
14558127,65681983
14558127,24299458
14558127,10045474
14558127,23002292
14558127,97300502
14558127,75286621
14558127,84013238
14558127,84013239
14558127,21044178
14558127,86532744
14558127,82633039
14558127,82697249
14558127,6983839
14558127,62517849
14558127,56832966
14558127,68679595
14558127,90448279
14558127,34755994
86120752,68258355
86120752,4647954
86120752,69852487
86120752,81471108
86120752,32164201
86120752,32807846
86120752,73628505
86120752,74063034
86120752,14532163
86120752,36224040
86120752,62623659
86120752,47679935
86120752,94770493
86120752,24224830
86120752,65681983
86120752,24299458
86120752,10045474
86120752,23002292
86120752,97300502
86120752,75286621
86120752,84013238
86120752,84013239
86120752,21044178
86120752,86532744
86120752,82633039
86120752,82697249
86120752,6983839
86120752,62517849
86120752,56832966
86120752,68679595
86120752,90448279
86120752,34755994
68258355,4647954
68258355,69852487
68258355,81471108
68258355,32164201
68258355,32807846
68258355,73628505
68258355,74063034
68258355,14532163
68258355,36224040
68258355,62623659
68258355,47679935
68258355,94770493
68258355,24224830
68258355,65681983
68258355,24299458
68258355,10045474
68258355,23002292
68258355,97300502
68258355,75286621
68258355,84013238
68258355,84013239
68258355,21044178
68258355,86532744
68258355,82633039
68258355,82697249
68258355,6983839
68258355,62517849
68258355,56832966
68258355,68679595
68258355,90448279
68258355,34755994
4647954,69852487
4647954,81471108
4647954,32164201
4647954,32807846
4647954,73628505
4647954,74063034
4647954,14532163
4647954,36224040
4647954,62623659
4647954,47679935
4647954,94770493
4647954,24224830
4647954,65681983
4647954,24299458
4647954,10045474
4647954,23002292
4647954,97300502
4647954,75286621
4647954,84013238
4647954,84013239
4647954,21044178
4647954,86532744
4647954,82633039
4647954,82697249
4647954,6983839
4647954,62517849
4647954,56832966
4647954,68679595
4647954,90448279
4647954,34755994
69852487,81471108
69852487,32164201
69852487,32807846
69852487,73628505
69852487,74063034
69852487,14532163
69852487,36224040
69852487,62623659
69852487,47679935
69852487,94770493
69852487,24224830
69852487,65681983
69852487,24299458
69852487,10045474
69852487,23002292
69852487,97300502
69852487,75286621
69852487,84013238
69852487,84013239
69852487,21044178
69852487,86532744
69852487,82633039
69852487,82697249
69852487,6983839
69852487,62517849
69852487,56832966
69852487,68679595
69852487,90448279
69852487,34755994
81471108,32164201
81471108,32807846
81471108,73628505
81471108,74063034
81471108,14532163
81471108,36224040
81471108,62623659
81471108,47679935
81471108,94770493
81471108,24224830
81471108,65681983
81471108,24299458
81471108,10045474
81471108,23002292
81471108,97300502
81471108,75286621
81471108,84013238
81471108,84013239
81471108,21044178
81471108,86532744
81471108,82633039
81471108,82697249
81471108,6983839
81471108,62517849
81471108,56832966
81471108,68679595
81471108,90448279
81471108,34755994
32164201,32807846
32164201,73628505
32164201,74063034
32164201,14532163
32164201,36224040
32164201,62623659
32164201,47679935
32164201,94770493
32164201,24224830
32164201,65681983
32164201,24299458
32164201,10045474
32164201,23002292
32164201,97300502
32164201,75286621
32164201,84013238
32164201,84013239
32164201,21044178
32164201,86532744
32164201,82633039
32164201,82697249
32164201,6983839
32164201,62517849
32164201,56832966
32164201,68679595
32164201,90448279
32164201,34755994
32807846,73628505
32807846,74063034
32807846,14532163
32807846,36224040
32807846,62623659
32807846,47679935
32807846,94770493
32807846,24224830
32807846,65681983
32807846,24299458
32807846,10045474
32807846,23002292
32807846,97300502
32807846,75286621
32807846,84013238
32807846,84013239
32807846,21044178
32807846,86532744
32807846,82633039
32807846,82697249
32807846,6983839
32807846,62517849
32807846,56832966
32807846,68679595
32807846,90448279
32807846,34755994
73628505,74063034
73628505,14532163
73628505,36224040
73628505,62623659
73628505,47679935
73628505,94770493
73628505,24224830
73628505,65681983
73628505,24299458
73628505,10045474
73628505,23002292
73628505,97300502
73628505,75286621
73628505,84013238
73628505,84013239
73628505,21044178
73628505,86532744
73628505,82633039
73628505,82697249
73628505,6983839
73628505,62517849
73628505,56832966
73628505,68679595
73628505,90448279
73628505,34755994
74063034,14532163
74063034,36224040
74063034,62623659
74063034,47679935
74063034,94770493
74063034,24224830
74063034,65681983
74063034,24299458
74063034,10045474
74063034,23002292
74063034,97300502
74063034,75286621
74063034,84013238
74063034,84013239
74063034,21044178
74063034,86532744
74063034,82633039
74063034,82697249
74063034,6983839
74063034,62517849
74063034,56832966
74063034,68679595
74063034,90448279
74063034,34755994
14532163,36224040
14532163,62623659
14532163,47679935
14532163,94770493
14532163,24224830
14532163,65681983
14532163,24299458
14532163,10045474
14532163,23002292
14532163,97300502
14532163,75286621
14532163,84013238
14532163,84013239
14532163,21044178
14532163,86532744
14532163,82633039
14532163,82697249
14532163,6983839
14532163,62517849
14532163,56832966
14532163,68679595
14532163,90448279
14532163,34755994
36224040,62623659
36224040,47679935
36224040,94770493
36224040,24224830
36224040,65681983
36224040,24299458
36224040,10045474
36224040,23002292
36224040,97300502
36224040,75286621
36224040,84013238
36224040,84013239
36224040,21044178
36224040,86532744
36224040,82633039
36224040,82697249
36224040,6983839
36224040,62517849
36224040,56832966
36224040,68679595
36224040,90448279
36224040,34755994
62623659,47679935
62623659,94770493
62623659,24224830
62623659,65681983
62623659,24299458
62623659,10045474
62623659,23002292
62623659,97300502
62623659,75286621
62623659,84013238
62623659,84013239
62623659,21044178
62623659,86532744
62623659,82633039
62623659,82697249
62623659,6983839
62623659,62517849
62623659,56832966
62623659,68679595
62623659,90448279
62623659,34755994
47679935,94770493
47679935,24224830
47679935,65681983
47679935,24299458
47679935,10045474
47679935,23002292
47679935,97300502
47679935,75286621
47679935,84013238
47679935,84013239
47679935,21044178
47679935,86532744
47679935,82633039
47679935,82697249
47679935,6983839
47679935,62517849
47679935,56832966
47679935,68679595
47679935,90448279
47679935,34755994
94770493,24224830
94770493,65681983
94770493,24299458
94770493,10045474
94770493,23002292
94770493,97300502
94770493,75286621
94770493,84013238
94770493,84013239
94770493,21044178
94770493,86532744
94770493,82633039
94770493,82697249
94770493,6983839
